id,course,topic,question,correct_answer,distractor_1,distractor_2,distractor_3,context,input_text,target_text,difficulty,source_type,quality_label
ex_0001,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Line chart,Histogram,Scatter plot,A bar chart compares values across categories using rectangular bars with a common baseline. This is a common principle in visualization design.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Line chart <sep> Histogram <sep> Scatter plot <sep> A bar chart compares values across categories using rectangular bars with a common baseline. This is a common principle in visualization design.,"The correct answer is Bar chart because it matches the idea described in the notes. Line chart, Histogram, and Scatter plot are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",medium,past_quiz,gold
ex_0002,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Tooltips,Zooming,Brushing,Filtering lets users include or exclude data subsets to focus on relevant items. This is a common principle in visualization design.,generate explanation: Filtering <sep> What is filtering used for in interactive visualization? <sep> Tooltips <sep> Zooming <sep> Brushing <sep> Filtering lets users include or exclude data subsets to focus on relevant items. This is a common principle in visualization design.,"The correct answer is Filtering because it matches the idea described in the notes. Tooltips, Zooming, and Brushing are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Filtering.",hard,tutorial,gold
ex_0003,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,Stores raw data in tables,Removes data variability,Randomizes visual elements,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate explanation: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Stores raw data in tables <sep> Removes data variability <sep> Randomizes visual elements <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","The correct answer is Visual encoding because it matches the idea described in the notes. Stores raw data in tables, Removes data variability, and Randomizes visual elements are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Visual encoding.",easy,tutorial,gold
ex_0004,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,Stores raw data in tables,Removes data variability,Randomizes visual elements,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape. This is a common principle in visualization design.","generate explanation: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Stores raw data in tables <sep> Removes data variability <sep> Randomizes visual elements <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape. This is a common principle in visualization design.","The correct answer is Visual encoding because it matches the idea described in the notes. Stores raw data in tables, Removes data variability, and Randomizes visual elements are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Visual encoding.",medium,lecture_notes,silver
ex_0005,CAT405,Evaluation,What is the data-ink ratio and why is it useful?,Data-ink ratio,Clutter,Chart junk,Bias,Data-ink ratio compares ink used to show data versus ink used for non-data decoration. This is a common principle in visualization design.,generate explanation: Data-ink ratio <sep> What is the data-ink ratio and why is it useful? <sep> Clutter <sep> Chart junk <sep> Bias <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration. This is a common principle in visualization design.,"The correct answer is Data-ink ratio because it matches the idea described in the notes. Clutter, Chart junk, and Bias are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Data-ink ratio.",medium,lecture_notes,gold
ex_0006,CAT405,Visual Encoding,What are marks in a visualization?,Marks,Color scale,Legend,Axis labels,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This supports accurate interpretation.","generate explanation: Marks <sep> What are marks in a visualization? <sep> Color scale <sep> Legend <sep> Axis labels <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This supports accurate interpretation.","The correct answer is Marks because it matches the idea described in the notes. Color scale, Legend, and Axis labels are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Marks.",easy,textbook_notes,silver
ex_0007,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,Adjacency matrix,Scatter plot,Line chart,A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,generate explanation: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> Adjacency matrix <sep> Scatter plot <sep> Line chart <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,"The correct answer is Treemap because it matches the idea described in the notes. Adjacency matrix, Scatter plot, and Line chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Treemap.",hard,lecture_notes,silver
ex_0008,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,Line chart,Pie chart,Bar chart,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate explanation: Histogram <sep> What does a histogram help you understand? <sep> Line chart <sep> Pie chart <sep> Bar chart <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,"The correct answer is Histogram because it matches the idea described in the notes. Line chart, Pie chart, and Bar chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Histogram.",hard,textbook_notes,gold
ex_0009,CAT405,Visual Encoding,What are marks in a visualization?,Marks,Axis labels,Color scale,Legend,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This is a common principle in visualization design.","generate explanation: Marks <sep> What are marks in a visualization? <sep> Axis labels <sep> Color scale <sep> Legend <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This is a common principle in visualization design.","The correct answer is Marks because it matches the idea described in the notes. Axis labels, Color scale, and Legend are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Marks.",medium,tutorial,silver
ex_0010,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Line chart,Scatter plot,Histogram,A bar chart compares values across categories using rectangular bars with a common baseline. This supports accurate interpretation.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Line chart <sep> Scatter plot <sep> Histogram <sep> A bar chart compares values across categories using rectangular bars with a common baseline. This supports accurate interpretation.,"The correct answer is Bar chart because it matches the idea described in the notes. Line chart, Scatter plot, and Histogram are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",medium,past_quiz,silver
