id,course,topic,concept,context,input_text,target_text,difficulty,source_type,quality_label
qg_0001,CAT405,Perception & Design,Similarity,"Similarity groups items that look alike, such as sharing the same color or shape. It supports common analytical tasks like comparison and identification of patterns.","generate question: Similarity <sep> Similarity groups items that look alike, such as sharing the same color or shape. It supports common analytical tasks like comparison and identification of patterns.",How does similarity influence grouping in a visualization?,hard,lecture_notes,gold
qg_0002,CAT405,Evaluation,Readability,Readability refers to how easily users can interpret a chart’s patterns and labels.,generate question: Readability <sep> Readability refers to how easily users can interpret a chart’s patterns and labels.,What does readability mean in visualization?,hard,lecture_notes,gold
qg_0003,CAT405,Foundations,Task,"A task describes what a user wants to accomplish with a visualization, such as comparing values or finding anomalies.","generate question: Task <sep> A task describes what a user wants to accomplish with a visualization, such as comparing values or finding anomalies.","In visualization, what does the term 'task' refer to?",medium,lecture_notes,gold
qg_0004,CAT405,Visual Encoding,Marks,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This is often taught as a core principle in visualization design.","generate question: Marks <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This is often taught as a core principle in visualization design.",What are marks in a visualization?,hard,lecture_notes,gold
qg_0005,CAT405,Evaluation,Data-ink ratio,Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,generate question: Data-ink ratio <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,What is the data-ink ratio and why is it useful?,hard,past_quiz,gold
qg_0006,CAT405,Charts & Comparison,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate question: Histogram <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,What does a histogram help you understand?,easy,lab_sheet,silver
qg_0007,CAT405,Visual Encoding,Size,Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values.,generate question: Size <sep> Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values.,Explain how does size typically encode data in charts?,medium,textbook_notes,gold
qg_0008,CAT405,Visual Encoding,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values. It supports common analytical tasks like comparison and identification of patterns.","generate question: Channels <sep> Visual channels are properties like position, color, size, and orientation used to encode data values. It supports common analytical tasks like comparison and identification of patterns.",What is a visual channel used for?,easy,textbook_notes,gold
qg_0009,CAT405,Evaluation,Bias,Bias occurs when design choices systematically mislead interpretation or emphasize certain messages.,generate question: Bias <sep> Bias occurs when design choices systematically mislead interpretation or emphasize certain messages.,Explain how can visualization design introduce bias?,easy,past_quiz,silver
qg_0010,CAT405,Perception & Design,Similarity,"Similarity groups items that look alike, such as sharing the same color or shape. This is often taught as a core principle in visualization design.","generate question: Similarity <sep> Similarity groups items that look alike, such as sharing the same color or shape. This is often taught as a core principle in visualization design.",Explain how does similarity influence grouping in a visualization?,medium,lab_sheet,silver
qg_0011,CAT405,Charts & Comparison,Box plot,"A box plot summarizes a distribution using median, quartiles, and potential outliers. It supports common analytical tasks like comparison and identification of patterns.","generate question: Box plot <sep> A box plot summarizes a distribution using median, quartiles, and potential outliers. It supports common analytical tasks like comparison and identification of patterns.",What information does a box plot communicate?,easy,textbook_notes,silver
qg_0012,CAT405,Interaction,Tooltips,Tooltips show details-on-demand when users hover or click on marks. This is often taught as a core principle in visualization design.,generate question: Tooltips <sep> Tooltips show details-on-demand when users hover or click on marks. This is often taught as a core principle in visualization design.,What are tooltips used for?,hard,past_quiz,silver
qg_0013,CAT405,Evaluation,User study,A user study evaluates a visualization by observing how people perform tasks using it.,generate question: User study <sep> A user study evaluates a visualization by observing how people perform tasks using it.,What is a user study used for in visualization evaluation?,hard,past_quiz,gold
qg_0014,CAT405,Perception & Design,Clutter,Clutter is excessive visual detail that makes a chart harder to read and interpret. It supports common analytical tasks like comparison and identification of patterns.,generate question: Clutter <sep> Clutter is excessive visual detail that makes a chart harder to read and interpret. It supports common analytical tasks like comparison and identification of patterns.,What is visual clutter and how does it affect comprehension?,medium,lecture_notes,gold
qg_0015,CAT405,Evaluation,Accuracy,Accuracy is how correctly users can estimate values or compare differences from a visualization. Good design choices improve interpretation and reduce misunderstanding.,generate question: Accuracy <sep> Accuracy is how correctly users can estimate values or compare differences from a visualization. Good design choices improve interpretation and reduce misunderstanding.,Explain why is accuracy important when choosing an encoding?,hard,lab_sheet,silver
qg_0016,CAT405,Evaluation,Data-ink ratio,Data-ink ratio compares ink used to show data versus ink used for non-data decoration. This is often taught as a core principle in visualization design.,generate question: Data-ink ratio <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration. This is often taught as a core principle in visualization design.,What is the data-ink ratio and why is it useful?,easy,lab_sheet,silver
qg_0017,CAT405,Visual Encoding,Visual encoding,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate question: Visual encoding <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.",What does visual encoding do in data visualization?,hard,textbook_notes,silver
qg_0018,CAT405,Perception & Design,Gestalt principles,"Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity. This is often taught as a core principle in visualization design.","generate question: Gestalt principles <sep> Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity. This is often taught as a core principle in visualization design.",How do Gestalt principles help users read charts?,easy,past_quiz,silver
qg_0019,CAT405,Visual Encoding,Position,Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions.,generate question: Position <sep> Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions.,Why is position considered a strong visual encoding channel?,easy,tutorial,silver
qg_0020,CAT405,Visual Encoding,Color luminance,Luminance changes the lightness of a color and is often used to represent ordered or quantitative values. It supports common analytical tasks like comparison and identification of patterns.,generate question: Color luminance <sep> Luminance changes the lightness of a color and is often used to represent ordered or quantitative values. It supports common analytical tasks like comparison and identification of patterns.,Why is luminance useful for encoding ordered values?,medium,past_quiz,gold
qg_0021,CAT405,Visual Encoding,Position,Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. This is often taught as a core principle in visualization design.,generate question: Position <sep> Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. This is often taught as a core principle in visualization design.,Why is position considered a strong visual encoding channel?,hard,lab_sheet,gold
qg_0022,CAT405,Networks & Trees,Treemap,A treemap represents hierarchical data with nested rectangles sized by a quantitative value. Good design choices improve interpretation and reduce misunderstanding.,generate question: Treemap <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value. Good design choices improve interpretation and reduce misunderstanding.,Select which visualization uses nested rectangles to show hierarchical proportions?,medium,past_quiz,gold
qg_0023,CAT405,Visual Encoding,Size,Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values.,generate question: Size <sep> Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values.,How does size typically encode data in charts?,easy,tutorial,gold
qg_0024,CAT405,Foundations,Data visualization,"Data visualization uses graphical representations to help people understand data patterns, trends, and outliers. This is often taught as a core principle in visualization design.","generate question: Data visualization <sep> Data visualization uses graphical representations to help people understand data patterns, trends, and outliers. This is often taught as a core principle in visualization design.",What is the main purpose of data visualization?,easy,lab_sheet,silver
