id,course,topic,question,correct_answer,context,input_text,target_text,distractor_1,distractor_2,distractor_3,difficulty,source_type,quality_label
dg_0001,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Filtering lets users include or exclude data subsets to focus on relevant items.,generate distractors: Filtering <sep> What is filtering used for in interactive visualization? <sep> Filtering lets users include or exclude data subsets to focus on relevant items.,Details-on-demand <sep> Selection <sep> Sorting,Details-on-demand,Selection,Sorting,hard,past_quiz,silver
dg_0002,CAT405,Charts & Comparison,What is a scatter plot used to analyze?,Scatter plot,A scatter plot shows relationships between two quantitative variables using points on a plane.,generate distractors: Scatter plot <sep> What is a scatter plot used to analyze? <sep> A scatter plot shows relationships between two quantitative variables using points on a plane.,Normalization <sep> Table <sep> Dot plot,Normalization,Table,Dot plot,hard,tutorial,silver
dg_0003,CAT405,Interaction,What is brushing in interactive visualization?,Brushing,Brushing highlights selected items in one view and can link the selection across multiple views.,generate distractors: Brushing <sep> What is brushing in interactive visualization? <sep> Brushing highlights selected items in one view and can link the selection across multiple views.,Baseline <sep> Highlighting <sep> Aggregation,Baseline,Highlighting,Aggregation,easy,lecture_notes,gold
dg_0004,CAT405,Networks & Trees,Which structure is commonly used to represent hierarchies?,Tree,A tree represents hierarchical parent-child relationships where each node (except root) has one parent.,generate distractors: Tree <sep> Which structure is commonly used to represent hierarchies? <sep> A tree represents hierarchical parent-child relationships where each node (except root) has one parent.,Radial tree <sep> Normalization <sep> Chord diagram,Radial tree,Normalization,Chord diagram,medium,lecture_notes,gold
dg_0005,CAT405,Perception & Design,What is chart junk and why should it be avoided?,Chart junk,Chart junk is decorative or unnecessary elements that distract from the data message.,generate distractors: Chart junk <sep> What is chart junk and why should it be avoided? <sep> Chart junk is decorative or unnecessary elements that distract from the data message.,Continuity <sep> Legend <sep> Axis labels,Continuity,Legend,Axis labels,easy,textbook_notes,gold
dg_0006,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Filtering lets users include or exclude data subsets to focus on relevant items.,generate distractors: Filtering <sep> What is filtering used for in interactive visualization? <sep> Filtering lets users include or exclude data subsets to focus on relevant items.,Selection <sep> Details-on-demand <sep> Drill-down,Selection,Details-on-demand,Drill-down,easy,tutorial,gold
dg_0007,CAT405,Networks & Trees,Which structure is commonly used to represent hierarchies?,Tree,A tree represents hierarchical parent-child relationships where each node (except root) has one parent.,generate distractors: Tree <sep> Which structure is commonly used to represent hierarchies? <sep> A tree represents hierarchical parent-child relationships where each node (except root) has one parent.,Node-link diagram <sep> Sunburst <sep> Outlier,Node-link diagram,Sunburst,Outlier,easy,lecture_notes,gold
dg_0008,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Aggregation <sep> Legend <sep> Trend line,Aggregation,Legend,Trend line,medium,tutorial,gold
dg_0009,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Box plot <sep> Normalization <sep> Axis labels,Box plot,Normalization,Axis labels,easy,past_quiz,silver
dg_0010,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,generate distractors: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,Trend line <sep> Normalization <sep> Sunburst,Trend line,Normalization,Sunburst,easy,lecture_notes,gold
dg_0011,CAT405,Perception & Design,What is chart junk and why should it be avoided?,Chart junk,Chart junk is decorative or unnecessary elements that distract from the data message.,generate distractors: Chart junk <sep> What is chart junk and why should it be avoided? <sep> Chart junk is decorative or unnecessary elements that distract from the data message.,Legend <sep> Similarity <sep> Axis labels,Legend,Similarity,Axis labels,hard,lecture_notes,gold
dg_0012,CAT405,Interaction,What is brushing in interactive visualization?,Brushing,Brushing highlights selected items in one view and can link the selection across multiple views.,generate distractors: Brushing <sep> What is brushing in interactive visualization? <sep> Brushing highlights selected items in one view and can link the selection across multiple views.,Highlighting <sep> Outlier <sep> Trend line,Highlighting,Outlier,Trend line,medium,textbook_notes,silver
dg_0013,CAT405,Visual Encoding,What are marks in a visualization?,Marks,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart.","generate distractors: Marks <sep> What are marks in a visualization? <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart.",Baseline <sep> Legend <sep> Position,Baseline,Legend,Position,medium,textbook_notes,gold
dg_0014,CAT405,Visual Encoding,What is a visual channel used for?,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values.","generate distractors: Channels <sep> What is a visual channel used for? <sep> Visual channels are properties like position, color, size, and orientation used to encode data values.",Normalization <sep> Axis labels <sep> Baseline,Normalization,Axis labels,Baseline,medium,textbook_notes,gold
dg_0015,CAT405,Interaction,What is brushing in interactive visualization?,Brushing,Brushing highlights selected items in one view and can link the selection across multiple views.,generate distractors: Brushing <sep> What is brushing in interactive visualization? <sep> Brushing highlights selected items in one view and can link the selection across multiple views.,Trend line <sep> Color scale <sep> Details-on-demand,Trend line,Color scale,Details-on-demand,medium,past_quiz,silver
